klic,zapsano,kolo,datum,domaci,hoste,model,p_domaci,p_remiza,p_hoste,tip,skore,vysledek
6|FC Baník Ostrava|SK Sigma Olomouc|poisson,2026-08-17 10:08:16,6,29.08.2026 20:00,FC Baník Ostrava,SK Sigma Olomouc,poisson,0.281034,0.28099,0.437977,02 (Neprohra hostů),,
6|FC Baník Ostrava|SK Sigma Olomouc|elo,2026-08-17 10:08:16,6,29.08.2026 20:00,FC Baník Ostrava,SK Sigma Olomouc,elo,0.39994,0.295799,0.30426,1X (Neprohra domácích),,
6|FC Baník Ostrava|SK Sigma Olomouc|ensemble,2026-08-17 10:08:16,6,29.08.2026 20:00,FC Baník Ostrava,SK Sigma Olomouc,ensemble,0.332137,0.283538,0.384325,02 (Neprohra hostů),,
6|FC Slovan Liberec|FC Hradec Králové|index_sily,2026-08-17 10:08:16,6,30.08.2026 15:00,FC Slovan Liberec,FC Hradec Králové,index_sily,0.313122,0.273128,0.41375,02 (Neprohra hostů),,
6|FC Slovan Liberec|FC Hradec Králové|poisson,2026-08-17 10:08:16,6,30.08.2026 15:00,FC Slovan Liberec,FC Hradec Králové,poisson,0.359313,0.328211,0.312476,1X (Neprohra domácích),,
6|FC Slovan Liberec|FC Hradec Králové|elo,2026-08-17 10:08:16,6,30.08.2026 15:00,FC Slovan Liberec,FC Hradec Králové,elo,0.407202,0.294562,0.298236,1X (Neprohra domácích),,
6|FC Slovan Liberec|FC Hradec Králové|ensemble,2026-08-17 10:08:16,6,30.08.2026 15:00,FC Slovan Liberec,FC Hradec Králové,ensemble,0.359879,0.298634,0.341487,1X (Neprohra domácích),,
6|FC Viktoria Plzeň|1. FC Slovácko|index_sily,2026-08-17 10:08:16,6,30.08.2026 17:00,FC Viktoria Plzeň,1. FC Slovácko,index_sily,0.728951,0.12363,0.147418,1 (Výhra domácích),,
6|FC Viktoria Plzeň|1. FC Slovácko|poisson,2026-08-17 10:08:16,6,30.08.2026 17:00,FC Viktoria Plzeň,1. FC Slovácko,poisson,0.604958,0.194225,0.200818,1 (Výhra domácích),,
6|FC Viktoria Plzeň|1. FC Slovácko|elo,2026-08-17 10:08:16,6,30.08.2026 17:00,FC Viktoria Plzeň,1. FC Slovácko,elo,0.441361,0.286967,0.271672,1X (Neprohra domácích),,
6|FC Viktoria Plzeň|1. FC Slovácko|ensemble,2026-08-17 10:08:16,6,30.08.2026 17:00,FC Viktoria Plzeň,1. FC Slovácko,ensemble,0.591757,0.201607,0.206636,1 (Výhra domácích),,
6|FK Teplice|FK Jablonec|index_sily,2026-08-17 10:08:16,6,30.08.2026 17:00,FK Teplice,FK Jablonec,index_sily,0.239681,0.228497,0.531822,02 (Neprohra hostů),,
6|FK Teplice|FK Jablonec|poisson,2026-08-17 10:08:16,6,30.08.2026 17:00,FK Teplice,FK Jablonec,poisson,0.264212,0.240599,0.495189,02 (Neprohra hostů),,
6|FK Teplice|FK Jablonec|elo,2026-08-17 10:08:16,6,30.08.2026 17:00,FK Teplice,FK Jablonec,elo,0.393297,0.296803,0.309899,1X (Neprohra domácích),,
6|FK Teplice|FK Jablonec|ensemble,2026-08-17 10:08:16,6,30.08.2026 17:00,FK Teplice,FK Jablonec,ensemble,0.299064,0.2553,0.445637,02 (Neprohra hostů),,
6|AC Sparta Praha|SK Slavia Praha|index_sily,2026-08-17 10:08:16,6,30.08.2026 20:00,AC Sparta Praha,SK Slavia Praha,index_sily,0.202776,0.190687,0.606537,2 (Výhra hostů),,
6|AC Sparta Praha|SK Slavia Praha|poisson,2026-08-17 10:08:16,6,30.08.2026 20:00,AC Sparta Praha,SK Slavia Praha,poisson,0.215756,0.216378,0.567866,2 (Výhra hostů),,
6|AC Sparta Praha|SK Slavia Praha|elo,2026-08-17 10:08:16,6,30.08.2026 20:00,AC Sparta Praha,SK Slavia Praha,elo,0.383084,0.298098,0.318818,1X (Neprohra domácích),,
6|AC Sparta Praha|SK Slavia Praha|ensemble,2026-08-17 10:08:16,6,30.08.2026 20:00,AC Sparta Praha,SK Slavia Praha,ensemble,0.267205,0.235055,0.497741,02 (Neprohra hostů),,
